Intensity	binding energy (eV)
-0.105472144112478	282
-0.158196221441125	282.0225
-0.0351733743409493	282.045
-0.140621528998243	282.135
-0.0878974516695959	282.1575
-0.158196221441125	282.225
0.052700087873462	282.27
0.0175507029876975	282.33
0.210872319859402	282.3675
0.140573550087873	282.435
-0.140621528998243	282.495
0.0175507029876975	282.5325
-0.175770913884007	282.585
0.175722934973638	282.63
0.281171089630931	282.69
0.122998857644991	282.6825
0.105424165202109	282.78
0.0351253954305799	282.825
0.474492706502636	282.87
0.421768629173989	282.945
0.333895166959578	282.9975
0.158148242530756	283.0575
0.246021704745167	283.0875
0.369044551845343	283.1475
0.210872319859402	283.1925
0.333895166959578	283.2825
0.246021704745167	283.335
0.369044551845343	283.3725
0.263596397188049	283.395
0.19329762741652	283.47
0.333895166959578	283.53
0.456918014059754	283.5825
0.755687785588752	283.62
0.773262478031634	283.68
1.1071816344464	283.7325
1.42352609841828	283.8
2.16166318101933	283.8225
2.24953664323374	283.8825
3.07554718804921	283.92
3.26886880492091	283.98
3.39189165202109	284.0325
3.98943119507909	284.07
4.0773046572935	284.1225
4.13002873462214	284.1675
4.09487934973638	284.22
4.14760342706503	284.2875
4.25305158172232	284.355
3.88398304042179	284.3775
4.58697073813708	284.4375
4.48152258347979	284.4675
4.83301643233743	284.5275
5.44813066783831	284.5575
5.32510782073814	284.6325
5.9577967486819	284.6775
6.06324490333919	284.7375
6.30929059753954	284.79
6.66078444639719	284.82
6.71350852372583	284.895
7.01227829525483	284.94
6.46746282952548	285
6.18626775043937	285.0375
5.62387759226713	285.0825
5.28995843585237	285.135
5.11421151142355	285.1725
4.44637319859403	285.2325
4.02458057996485	285.285
3.23371942003515	285.33
3.12827126537786	285.39
2.79435210896309	285.4275
2.53073172231986	285.48
2.00349094903339	285.525
1.7925946397188	285.5775
1.23020448154657	285.615
0.878710632688928	285.675
1.15990571177504	285.7425
0.89628532513181	285.765
0.527216783831283	285.825
0.439343321616872	285.87
0.509642091388401	285.9225
0.474492706502636	285.975
0.456918014059754	286.0425
0.246021704745167	286.05
0.281171089630931	286.0875
0.210872319859402	286.125
0.246021704745167	286.185
0.0351253954305799	286.2225
0.0702747803163443	286.2675
0.210872319859402	286.3275
-0.0878974516695959	286.365
0.052700087873462	286.4175
-0.140621528998243	286.4625
0.140573550087873	286.5375
-0.0527480667838314	286.5825
-0.0175986818980669	286.6275
0.175722934973638	286.6725
-0.0703227592267138	286.7175
-2.39894551846004e-05	286.7625
0.0175507029876975	286.8225
0.210872319859402	286.89
-0.0703227592267138	286.9125
0.158148242530756	286.98
0.0702747803163443	287.0475
-0.0703227592267138	287.0775
0.0702747803163443	287.1375
-0.158196221441125	287.175
0.0351253954305799	287.22
0.0878494727592265	287.28
-0.0703227592267138	287.325
-0.158196221441125	287.3775
-0.158196221441125	287.4375
-0.0351733743409493	287.475
0.0878494727592265	287.535
-0.140621528998243	287.5725
0.052700087873462	287.6325
-0.0703227592267138	287.6925
-0.105472144112478	287.7675
-0.0527480667838314	287.835
0.122998857644991	287.8875
-0.0175986818980669	287.9475
-0.140621528998243	287.985
